,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint
113,5,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,54,6.73840332,146,2023-08-04 04:36:56.999,False,False
114,5,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,55,10.8760986,168,2023-08-04 04:37:13.615,False,False
115,5,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,56,21.7368164,695,2023-08-04 04:37:36.878,False,False
116,5,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,57,3.59631348,878,2023-08-04 04:37:48.531,False,False
117,5,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,58,15.2236328,581,2023-08-04 04:38:05.148,False,False
118,5,1,2,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,59,18.8258667,155,2023-08-04 04:38:24.936,False,False
119,5,2,2,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,60,5.626465,169,2023-08-04 04:38:42.173,False,False
120,0,0,0,0,0,0,False,False,False,False,False,False,211700f2,MCTS_Knowledge,1,9.28340149,0,2023-08-04 03:55:57.020,False,False
121,0,0,0,0,0,1,False,False,False,False,False,False,211700f2,MCTS_Knowledge,2,24.4001,153,2023-08-04 03:56:29.816,False,False
122,0,0,1,0,0,1,False,False,False,False,False,False,211700f2,MCTS_Knowledge,3,13.9112015,1018,2023-08-04 03:56:45.762,False,False
123,0,0,1,0,0,1,False,False,False,False,False,False,211700f2,MCTS_Knowledge,4,12.3258972,597,2023-08-04 03:56:59.660,False,False
124,0,0,1,0,0,2,False,False,False,False,False,False,211700f2,MCTS_Knowledge,5,102.658691,120,2023-08-04 03:58:43.540,False,False
125,0,0,1,0,0,2,False,False,False,False,False,False,211700f2,MCTS_Knowledge,6,21.07901,1487,2023-08-04 03:59:07.124,False,False
126,0,0,1,0,1,2,False,False,False,False,False,False,211700f2,MCTS_Knowledge,7,23.40599,1608,2023-08-04 03:59:38.937,False,False
127,0,0,2,0,1,2,False,False,False,False,False,False,211700f2,MCTS_Knowledge,8,10.417511,809,2023-08-04 03:59:51.271,False,False
128,0,0,2,0,1,3,False,False,False,False,False,False,211700f2,MCTS_Knowledge,9,21.24878,502,2023-08-04 04:00:19.451,False,False
129,1,0,2,0,1,3,False,False,False,False,False,False,211700f2,MCTS_Knowledge,10,13.8846741,1567,2023-08-04 04:00:40.921,False,False
130,1,0,2,1,1,3,False,False,False,False,False,False,211700f2,MCTS_Knowledge,11,36.62982,1119,2023-08-04 04:01:19.697,False,False
131,1,1,2,1,1,3,False,False,False,False,False,False,211700f2,MCTS_Knowledge,12,9.973907,1989,2023-08-04 04:01:32.686,False,False
132,1,1,2,1,2,3,False,False,False,False,False,False,211700f2,MCTS_Knowledge,13,18.1667175,1376,2023-08-04 04:02:05.625,False,False
133,1,2,2,1,2,3,False,False,False,False,False,False,211700f2,MCTS_Knowledge,14,10.44342,1271,2023-08-04 04:02:21.087,False,False
134,1,2,2,1,3,3,False,False,False,False,False,False,211700f2,MCTS_Knowledge,15,31.8807068,1260,2023-08-04 04:02:57.840,False,False
135,1,2,2,2,3,3,False,False,False,False,False,False,211700f2,MCTS_Knowledge,16,9.835602,886,2023-08-04 04:03:19.628,False,False
136,1,2,2,2,3,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,17,10.0500793,453,2023-08-04 04:03:41.879,False,False
137,1,2,2,3,3,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,18,11.9154663,143,2023-08-04 04:03:57.324,False,False
138,1,2,2,4,3,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,19,20.1304321,1373,2023-08-04 04:04:24.953,False,False
139,2,2,2,4,3,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,20,28.9506226,1217,2023-08-04 04:04:56.208,False,False
140,2,2,3,4,4,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,21,9.558105,158,2023-08-04 04:05:09.663,False,False
141,2,2,3,4,5,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,22,0.439697266,443,2023-08-04 04:05:20.508,False,False
142,2,2,3,4,5,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,23,9.908508,443,2023-08-04 04:05:30.745,False,False
143,2,2,3,5,5,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,24,9.0703125,596,2023-08-04 04:05:41.448,False,False
144,2,2,3,5,6,4,False,False,False,False,False,False,211700f2,MCTS_Knowledge,25,18.4077759,1464,2023-08-04 04:06:04.232,False,False
145,2,2,3,5,6,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,26,13.15741,123,2023-08-04 04:06:25.201,False,False
146,2,2,3,5,6,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,27,10.7119751,455,2023-08-04 04:06:37.420,False,False
147,2,2,4,5,6,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,28,34.1253662,565,2023-08-04 04:07:16.111,False,False
148,2,2,5,5,6,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,29,42.40851,118,2023-08-04 04:08:03.609,False,False
149,2,2,5,5,7,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,30,9.508606,117,2023-08-04 04:08:22.539,False,False
150,2,2,5,5,7,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,31,27.0198364,732,2023-08-04 04:08:51.336,False,False
151,2,2,5,5,8,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,32,29.2727051,123,2023-08-04 04:09:30.213,False,False
152,2,2,5,5,9,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,33,18.2781372,890,2023-08-04 04:09:52.335,False,False
153,2,2,5,5,10,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,34,15.8594971,1401,2023-08-04 04:10:16.693,False,False
154,2,3,5,5,10,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,35,10.3442993,538,2023-08-04 04:10:32.207,False,False
155,2,3,5,5,10,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,36,10.8173218,150,2023-08-04 04:10:44.270,False,False
156,2,3,5,5,10,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,37,18.3320923,1716,2023-08-04 04:11:05.479,False,False
157,2,3,5,6,10,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,38,26.7155762,858,2023-08-04 04:11:34.196,False,False
158,2,3,5,6,11,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,39,17.2745972,193,2023-08-04 04:11:57.581,False,False
159,2,3,6,6,11,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,40,15.668335,134,2023-08-04 04:12:25.434,False,False
